keyword,canonical_keyword,volume,kd,cpc,serp_features,topical_silo,primary_entity,entity_id,entity_type,parent_entity,intent,intent_detail,geo_modifier,comparison_entity_a,comparison_entity_b,cluster_key,cluster_label,recommended_page_type,recommended_action,suggested_url,entity_existing_page,needs_manual_review,current_url,current_position,current_traffic,competitor_url,updated
2 mcdoubles,mcdouble,90,4,0.71,"Sitelinks, People also ask, Video preview",Burgers,McDouble,burgers-mcdouble,product_variant,Burgers Menu,overview,overview_general,,,,burgers-mcdouble__overview_general,McDouble - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/mcdouble/,Yes,No,,,,https://www.mac-menus.com/mcdouble/,2026-04-20 03:07:13
mcdonald's hot fudge sundae price,how much is a hot fudge sundae at mcdonald's,90,0,0.16,"AI Overview, People also ask, Video preview",Sweets & Treats,Hot Fudge Sundae,sweets-hot-fudge-sundae,product_variant,Sweets & Treats,commercial,price_value,,,,sweets-hot-fudge-sundae__price_value,Hot Fudge Sundae - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/hot-fudge-sundae/,Yes,No,,,,https://www.mac-menus.com/hot-fudge-sundae/,2026-05-04 02:16:39
how many calories is a oreo mcflurry,mcflurry calories,90,2,0.55,"Knowledge card, People also ask",Sweets & Treats,OREO McFlurry,sweets-oreo-mcflurry,product_variant,Sweets & Treats,nutrition,nutrition_macros,,,,sweets-oreo-mcflurry__nutrition_macros,OREO McFlurry - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/,Yes,No,,,,https://www.mac-menus.com/mcflurry-with-oreo-cookies/,2026-04-21 01:02:03
cheeseburger combo meal,how much is a cheeseburger at mcdonald's,90,1,0.69,"People also ask, Sitelinks",Burgers,Cheeseburger,burgers-cheeseburger,product_variant,Burgers Menu,commercial,price_value,,,,burgers-cheeseburger__price_value,Cheeseburger - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/cheeseburger/,Yes,No,,,,https://www.mac-menus.com/cheeseburger/,2026-04-13 18:02:29
how many calories is a bacon egg and cheese mcgriddle,bacon egg and cheese mcgriddle calories,90,0,0,"AI Overview, Thumbnail, People also ask, Video preview",Breakfast,"Bacon, Egg & Cheese McGriddles",bfast-bacon-egg-cheese-mcgriddles,product_variant,Breakfast Menu,nutrition,nutrition_macros,,,,bfast-bacon-egg-cheese-mcgriddles__nutrition_macros,"Bacon, Egg & Cheese McGriddles - nutrition macros",item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/bacon-egg-cheese-mcgriddles/,Yes,No,,,,https://www.mac-menus.com/bacon-egg-cheese-mcgriddles/,2026-04-24 19:01:56
mcdonald breakfast menu price,mcdonald's breakfast menu with prices,90,31,0.4,People also ask,Breakfast,Breakfast Menu,breakfast-menu,menu_guide,,commercial,price_value,,,,breakfast-menu__price_value,Breakfast Menu - price value,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-breakfast-menu-breakfast-meals-more-2025/,2026-04-15 02:47:33
mcdonalds menu cost,mcdonald's menu with prices 2025,90,61,0.04,"Local pack, People also ask, Top stories, Video preview",Brand Core,McDonald's Menu,menu-hub,menu_hub,,commercial,price_value,,,,menu-hub__price_value,McDonald's Menu - price value,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,No,,,,https://www.mac-menus.com/,2026-04-10 08:37:48
big breakfast mcdonalds price,mcdonald's big breakfast price,90,13,0.34,"AI Overview, Video preview, People also ask, Sitelinks",Breakfast,Big Breakfast,bfast-big-breakfast,product_variant,Breakfast Menu,commercial,price_value,,,,bfast-big-breakfast__price_value,Big Breakfast - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/big-breakfast/,Yes,No,,,,https://www.mac-menus.com/big-breakfast/,2026-04-07 17:05:31
frozen coke mcdonald's,mcdonalds sprite,90,0,0.97,"People also ask, Sitelinks, Discussions and forums, Top stories, Thumbnail, Video preview",Beverages,Soft Drink Small,bev-soft-drink-small,product_variant,Soft Drink,overview,overview_general,,,,bev-soft-drink-small__overview_general,Soft Drink Small - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/beverages-drinks/soft-drink-small/,Yes,No,,,,https://www.mac-menus.com/frozen-coca-cola-classic/,2026-04-14 03:13:14
mcflurry price mcdonalds,how much is a mcflurry,90,49,0.59,People also ask,Sweets & Treats,OREO McFlurry,sweets-oreo-mcflurry,product_variant,Sweets & Treats,commercial,price_value,,,,sweets-oreo-mcflurry__price_value,OREO McFlurry - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/,Yes,No,,,,https://www.mac-menus.com/mcflurry-with-oreo-cookies/,2026-04-04 04:17:42
medium sweet tea mcdonald's calories,large coke mcdonalds calories,90,0,0,"AI Overview, Thumbnail, People also ask",Nutrition,"Nutrition, Calories & Allergens",nutrition-guide,support_page,,nutrition,nutrition_macros,,,,nutrition-guide__nutrition_macros,"Nutrition, Calories & Allergens - nutrition macros",support,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/mcdonalds-nutrition-calories-allergens/,Yes,No,,,,https://www.mac-menus.com/sweet-tea/,2026-04-26 19:08:49
mcdonald happy meal price,how much is a happy meal at mcdonald's,90,4,1.78,"AI Overview, Thumbnail, People also ask, Sitelinks",Happy Meal,Happy Meal,happy-meal,menu_guide,,commercial,price_value,,,,happy-meal__price_value,Happy Meal - price value,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/happy-meal-menu/,Yes,No,,,,https://www.mac-menus.com/happy-meal/,2026-04-05 16:17:32
how much is a mcrib,how much is a mcrib,90,0,0.22,"People also ask, Shopping, Thumbnail",Limited Time,McRib,limited-time-mcrib,product_family,Limited Time Menu,commercial,price_value,,,,limited-time-mcrib__price_value,McRib - price value,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/limited-time-menu/,No,No,,,,https://www.mac-menus.com/mcrib/,2026-04-03 22:28:28
how many calories is a sausage egg and cheese mcmuffin,sausage egg and cheese mcmuffin calories,90,2,0,"AI Overview, Thumbnail, People also ask, Video preview",Breakfast,McMuffin,breakfast-mcmuffin,product_family,Breakfast Menu,nutrition,nutrition_macros,,,,breakfast-mcmuffin__nutrition_macros,McMuffin - nutrition macros,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/breakfast-menu/,Yes,No,,,,https://www.mac-menus.com/sausage-mcmuffin-with-egg/,2026-04-23 04:41:47
price of mcdonald's cheeseburger,how much is a cheeseburger at mcdonald's,90,31,0.66,"People also ask, Sitelinks, Top stories, Thumbnail",Burgers,Cheeseburger,burgers-cheeseburger,product_variant,Burgers Menu,commercial,price_value,,,,burgers-cheeseburger__price_value,Cheeseburger - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/cheeseburger/,Yes,No,,,,https://www.mac-menus.com/,2026-05-02 15:26:55
mcdonalds hotcakes calories,mcdonald's hotcakes calories,90,0,0.61,"Knowledge card, People also ask, AI Overview",Breakfast,Hotcakes,bfast-hotcakes,product_variant,Breakfast Menu,nutrition,nutrition_macros,,,,bfast-hotcakes__nutrition_macros,Hotcakes - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/hotcakes/,Yes,No,,,,https://www.mac-menus.com/hotcakes/,2026-04-27 07:19:28
20 pc chicken nuggets,mcdonald's chicken mcnuggets,90,0,0.58,"AI Overview, Thumbnail, Video preview, People also ask, Shopping, Top stories, Sitelinks",Value & Deals,Chicken McNuggets,mcvalue-chicken-mcnuggets,product_family,McValue Menu,overview,overview_general,,,,mcvalue-chicken-mcnuggets__overview_general,Chicken McNuggets - overview general,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,Yes,No,,,,https://www.mac-menus.com/20-piece-chicken-mcnuggets/,2026-04-26 16:21:48
small mocha frappe calories,mocha frappe calories,90,3,0,"AI Overview, Thumbnail, People also ask, Video preview",McCafe Coffees,McCafe Mocha Frappe Small,coffee-mccafe-mocha-frappe-small,product_variant,McCafe Mocha Frappe,nutrition,nutrition_macros,,,,coffee-mccafe-mocha-frappe-small__nutrition_macros,McCafe Mocha Frappe Small - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-mocha-frappe-small/,Yes,No,,,,https://www.mac-menus.com/mocha-frappe/,2026-04-25 18:07:55
how much do mcchickens cost,how much is a mcchicken,90,54,0.8,People also ask,Chicken & Fish,McChicken,chicken-mcchicken,product_variant,Chicken & Fish Menu,commercial,price_value,,,,chicken-mcchicken__price_value,McChicken - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,Yes,No,,,,https://www.mac-menus.com/,2026-04-22 02:45:37
mcflurry oreo calories,mcflurry calories,90,0,0,"Knowledge card, People also ask, AI Overview, Top stories, Thumbnail, Video preview",Sweets & Treats,OREO McFlurry,sweets-oreo-mcflurry,product_variant,Sweets & Treats,nutrition,nutrition_macros,,,,sweets-oreo-mcflurry__nutrition_macros,OREO McFlurry - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/,Yes,No,,,,https://www.mac-menus.com/mcflurry-with-oreo-cookies/,2026-04-14 10:11:14
how much is a double,mcdonald's menu with prices 2025,90,0,0,"AI Overview, Video preview, Thumbnail, People also ask, Top stories, Sitelinks",Brand Core,McDonald's Menu,menu-hub,menu_hub,,commercial,price_value,,,,menu-hub__price_value,McDonald's Menu - price value,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,Yes,,,,https://www.mac-menus.com/double-cheeseburger/,2026-04-27 02:09:31
deluxe mccrispy price,deluxe mccrispy price,90,27,0,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",Chicken & Fish,Deluxe McCrispy,chicken-deluxe-mccrispy,product_variant,Chicken & Fish Menu,commercial,price_value,,,,chicken-deluxe-mccrispy__price_value,Deluxe McCrispy - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/deluxe-mccrispy/,Yes,No,,,,https://www.mac-menus.com/deluxe-mccrispy/,2026-04-08 07:07:02
how much is a sweet tea at mcdonald's,how much is a large sweet tea at mcdonald's,90,0,0.66,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",Beverages,Sweet Tea,bev-sweet-tea,product_family,Beverages & Drinks,commercial,price_value,,,,bev-sweet-tea__price_value,Sweet Tea - price value,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/beverage-menu/,Yes,No,,,,https://www.mac-menus.com/sweet-tea/,2026-04-15 04:48:17
ranch mcdonalds calories,large coke mcdonalds calories,90,1,0,"AI Overview, Thumbnail, People also ask",Nutrition,"Nutrition, Calories & Allergens",nutrition-guide,support_page,,nutrition,nutrition_macros,,,,nutrition-guide__nutrition_macros,"Nutrition, Calories & Allergens - nutrition macros",support,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/mcdonalds-nutrition-calories-allergens/,Yes,No,,,,https://www.mac-menus.com/creamy-ranch-sauce/,2026-04-23 11:56:04
large drink mcdonalds price,how much is a large drink at mcdonald's,90,12,0.36,"AI Overview, Thumbnail, People also ask, Sitelinks",Beverages,Beverages & Drinks,beverages-drinks,menu_guide,,commercial,price_value,,,,beverages-drinks__price_value,Beverages & Drinks - price value,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/beverage-menu/,Yes,No,,,,https://www.mac-menus.com/coca-cola/,2026-04-28 04:18:11
how much is a spicy chicken sandwich,mcdonald's chicken sandwich price,90,2,0,"People also ask, Top stories, Video preview, Thumbnail",Chicken & Fish,Chicken & Fish Menu,chicken-fish-menu,menu_guide,,commercial,price_value,,,,chicken-fish-menu__price_value,Chicken & Fish Menu - price value,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/chicken-fish-menu/,Yes,No,,,,https://www.mac-menus.com/spicy-mccrispy/,2026-04-24 19:01:46
egg mcmuffin meal calories,egg mcmuffin meal calories,90,1,0.02,"AI Overview, Thumbnail, People also ask, Video preview",Value & Deals,Egg McMuffin Meal,evm-egg-mcmuffin-meal,product_variant,Extra Value Meals,nutrition,nutrition_macros,,,,evm-egg-mcmuffin-meal__nutrition_macros,Egg McMuffin Meal - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/extra-value-meals/egg-mcmuffin-meal/,Yes,No,,,,https://www.mac-menus.com/egg-mcmuffin-meal/,2026-04-24 04:38:28
smoothie mcdonalds,mcdonalds smoothie,90,0,0.28,People also ask,Beverages,Smoothie,beverages-smoothie,product_family,Beverages & Drinks,overview,overview_general,,,,beverages-smoothie__overview_general,Smoothie - overview general,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/beverage-menu/,Yes,No,,,,https://www.mac-menus.com/strawberry-banana-smoothie/,2026-04-30 18:39:08
mcdonald's bacon egg cheese biscuit,mcdonald's biscuit,90,0,0.71,"Sitelinks, People also ask, Top stories, Thumbnail",Breakfast,Breakfast Menu,breakfast-menu,menu_guide,,overview,overview_general,,,,breakfast-menu__overview_general,Breakfast Menu - overview general,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/,Yes,No,,,,https://www.mac-menus.com/bacon-egg-cheese-biscuit/,2026-04-16 12:04:02
calories in mcdonald's cookie,mcdonalds cookie calories,90,0,0,"AI Overview, Thumbnail, People also ask, Video preview, Top stories",Sweets & Treats,Cookies,sweets-cookies,product_family,Sweets & Treats,nutrition,nutrition_macros,,,,sweets-cookies__nutrition_macros,Cookies - nutrition macros,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/sweets-treats/,Yes,No,,,,https://www.mac-menus.com/chocolate-chip-cookie/,2026-04-20 12:45:02
mcdonald's iced tea,mcdonalds drink,90,0,0.49,"AI Overview, People also ask",Beverages,Beverages & Drinks,beverages-drinks,menu_guide,,overview,overview_general,,,,beverages-drinks__overview_general,Beverages & Drinks - overview general,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/beverage-menu/,Yes,No,,,,https://www.mac-menus.com/unsweetened-iced-tea/,2026-05-01 06:01:43
mcvouce,mcdonald's food,90,0,0.47,Sitelinks,Brand Core,McDonald's Menu,menu-hub,menu_hub,,overview,overview_general,,,,menu-hub__overview_general,McDonald's Menu - overview general,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,Yes,,,,https://www.mac-menus.com/mcdvoice/,2026-04-12 02:14:15
how many calories in mcdonald's big breakfast,mcdonald's big breakfast calories,90,1,0.7,"AI Overview, Thumbnail, Knowledge card, People also ask",Breakfast,Big Breakfast,bfast-big-breakfast,product_variant,Breakfast Menu,nutrition,nutrition_macros,,,,bfast-big-breakfast__nutrition_macros,Big Breakfast - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/big-breakfast/,Yes,No,,,,https://www.mac-menus.com/big-breakfast/,2026-04-14 06:30:47
how many calories in a mcdonald's chicken sandwich,mcdonald's spicy chicken sandwich calories,90,13,0.72,"Knowledge card, People also ask, AI Overview",Chicken & Fish,Chicken & Fish Menu,chicken-fish-menu,menu_guide,,nutrition,nutrition_macros,,,,chicken-fish-menu__nutrition_macros,Chicken & Fish Menu - nutrition macros,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/chicken-fish-menu/,Yes,No,,,,https://www.mac-menus.com/mcchicken/,2026-04-28 08:58:41
family box mcdonalds,dinner box mcdonalds,90,8,0.81,"AI Overview, Thumbnail, People also ask",Value & Deals,Shareables & Bundles,shareables-bundles,support_page,,overview,overview_general,,,,shareables-bundles__overview_general,Shareables & Bundles - overview general,support,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/shareables-bundles/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-shareables-bundles/,2026-04-27 12:09:49
www..mcdvoice.com,mcdvoice,90,2,0.04,Sitelinks,Customer Journey,McDVoice Survey,mcdvoice,service_page,,service_task,service_survey,,,,mcdvoice__service_survey,McDVoice Survey - service survey,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/,No,No,,,,https://www.mac-menus.com/mcdvoice/,2026-04-11 15:09:29
mcdonald's breakfast menu with prices 2024,mcdonald's breakfast menu with prices,90,9,0.43,"People also ask, Sitelinks",Breakfast,Breakfast Menu,breakfast-menu,menu_guide,,commercial,price_value,,,,breakfast-menu__price_value,Breakfast Menu - price value,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-breakfast-menu-breakfast-meals-more-2025/,2026-04-09 14:45:22
oreo mcflurry cost,how much is a mcflurry,90,0,0.59,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",Sweets & Treats,OREO McFlurry,sweets-oreo-mcflurry,product_variant,Sweets & Treats,commercial,price_value,,,,sweets-oreo-mcflurry__price_value,OREO McFlurry - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/,Yes,No,,,,https://www.mac-menus.com/mcflurry-with-oreo-cookies/,2026-04-30 17:07:32
how many carbs are in a mcdonald's double cheeseburger,mcdonald's double cheeseburger calories,90,0,0,"AI Overview, Thumbnail, People also ask",Burgers,Double Cheeseburger,burgers-double-cheeseburger,product_variant,Burgers Menu,nutrition,nutrition_macros,,,,burgers-double-cheeseburger__nutrition_macros,Double Cheeseburger - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/,Yes,No,,,,https://www.mac-menus.com/double-cheeseburger/,2026-05-04 14:32:42
mcdonald's caramel frappe nutrition,small caramel frappe mcdonalds calories,90,0,0.64,"AI Overview, Thumbnail, People also ask",McCafe Coffees,McCafe Caramel Frappe Small,coffee-mccafe-caramel-frappe-small,product_variant,McCafe Caramel Frappe,nutrition,nutrition_macros,,,,coffee-mccafe-caramel-frappe-small__nutrition_macros,McCafe Caramel Frappe Small - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-caramel-frappe-small/,Yes,No,,,,https://www.mac-menus.com/caramel-frappe/,2026-04-15 17:49:47
how much are sausage mcmuffins at mcdonald's,mcmuffin price,90,9,0.35,"AI Overview, Thumbnail, People also ask, Sitelinks, Top stories",Breakfast,McMuffin,breakfast-mcmuffin,product_family,Breakfast Menu,commercial,price_value,,,,breakfast-mcmuffin__price_value,McMuffin - price value,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/breakfast-menu/,Yes,No,,,,https://www.mac-menus.com/sausage-mcmuffin/,2026-04-09 09:59:47
mcdonald's happy meal menu,what comes in a happy meal,90,45,0.11,"AI Overview, People also ask, Video preview, Top stories, Thumbnail",Happy Meal,Happy Meal,happy-meal,menu_guide,,overview,overview_menu,,,,happy-meal__overview_menu,Happy Meal - overview menu,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/happy-meal-menu/,Yes,No,,,,https://www.mac-menus.com/happy-meal/,2026-04-05 09:45:46
sausage biscuit mcdonalds,mcdonald's sausage biscuit,90,3,0,"People also ask, Top stories, Video preview, Thumbnail",Breakfast,Sausage Biscuit,bfast-sausage-biscuit,product_variant,Breakfast Menu,overview,overview_general,,,,bfast-sausage-biscuit__overview_general,Sausage Biscuit - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/sausage-biscuit/,Yes,No,,,,https://www.mac-menus.com/sausage-biscuit/,2026-04-14 08:32:16
mcdonald voice,mcvoice,90,28,0,"Sitelinks, People also ask, Video preview",Customer Journey,McDVoice Survey,mcdvoice,service_page,,overview,overview_general,,,,mcdvoice__overview_general,McDVoice Survey - overview general,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/,No,No,,,,https://www.mac-menus.com/mcdvoice/,2026-04-21 02:32:44
mcdonald's frappe calories,mcdonalds frappe calories,90,2,0.86,"AI Overview, Thumbnail, People also ask",McCafe Coffees,Frappe,coffee-frappe,product_family,McCafe Coffees,nutrition,nutrition_macros,,,,coffee-frappe__nutrition_macros,Frappe - nutrition macros,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mccafe-menu/,Yes,No,,,,https://www.mac-menus.com/caramel-frappe/,2026-04-25 04:39:12
frozen fanta,mcdonalds sprite,90,0,0.07,"AI Overview, Thumbnail, People also ask, Top stories, Video preview",Beverages,Soft Drink Small,bev-soft-drink-small,product_variant,Soft Drink,overview,overview_general,,,,bev-soft-drink-small__overview_general,Soft Drink Small - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/beverages-drinks/soft-drink-small/,Yes,No,,,,https://www.mac-menus.com/frozen-fanta-blue-raspberry/,2026-05-02 21:18:02
how much is mcdonald's iced coffee,mcdonald's iced coffee price,90,0,0.57,"People also ask, Video preview",McCafe Coffees,McCafe Iced Coffee Small,coffee-mccafe-iced-coffee-small,product_variant,McCafe Iced Coffee,commercial,price_value,,,,coffee-mccafe-iced-coffee-small__price_value,McCafe Iced Coffee Small - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-iced-coffee-small/,Yes,No,,,,https://www.mac-menus.com/iced-coffee/,2026-04-18 12:06:17
how many calories in mcdonald's hotcakes,mcdonald's hotcakes calories,90,0,0,"Knowledge card, People also ask, AI Overview",Breakfast,Hotcakes,bfast-hotcakes,product_variant,Breakfast Menu,nutrition,nutrition_macros,,,,bfast-hotcakes__nutrition_macros,Hotcakes - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/hotcakes/,Yes,No,,,,https://www.mac-menus.com/hotcakes/,2026-04-13 10:07:17
does mcdonald's have honey mustard,honey mustard mcdonald's,90,1,0,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",Sauces & Condiments,Honey,sauce-honey,product_variant,Sauces & Condiments,overview,overview_general,,,,sauce-honey__overview_general,Honey - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sauces-condiments/honey/,Yes,No,,,,https://www.mac-menus.com/honey-mustard-sauce/,2026-05-03 21:34:02
happy meal prices,how much is a happy meal at mcdonald's,90,32,0.13,"People also ask, Sitelinks, Top stories, Thumbnail, Video preview",Happy Meal,Happy Meal,happy-meal,menu_guide,,commercial,price_value,,,,happy-meal__price_value,Happy Meal - price value,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/happy-meal-menu/,Yes,No,,,,https://www.mac-menus.com/,2026-04-24 18:13:32
mcdonald's 10 pc nugget price,how much is a 20 piece chicken nugget at mcdonald's,90,4,0.47,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",McNuggets & Strips,Chicken McNuggets,nuggets-chicken-mcnuggets,product_family,McNuggets & Strips,commercial,price_value,,,,nuggets-chicken-mcnuggets__price_value,Chicken McNuggets - price value,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/nuggets-and-strips/,Yes,No,,,,https://www.mac-menus.com/10-piece-chicken-mcnuggets/,2026-04-25 09:00:28
how much is a mcdonalds mcflurry,mcdonald's mcflurry price,90,9,0.63,"People also ask, Sitelinks, Top stories, Thumbnail, Video preview",Sweets & Treats,McFlurry,sweets-mcflurry,product_family,Sweets & Treats,commercial,price_value,,,,sweets-mcflurry__price_value,McFlurry - price value,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/sweets-treats/,Yes,No,,,,https://www.mac-menus.com/mcflurry-with-oreo-cookies/,2026-04-20 23:39:18
mcdonalds sausage burrito nutrition,mcdonald's sausage burrito calories,90,0,0,"People also ask, Video preview",Breakfast,Sausage Burrito,bfast-sausage-burrito,product_variant,Breakfast Menu,nutrition,nutrition_macros,,,,bfast-sausage-burrito__nutrition_macros,Sausage Burrito - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/sausage-burrito/,Yes,No,,,,https://www.mac-menus.com/sausage-burrito/,2026-04-21 18:03:02
mcdonald's chicken menu,mcdonald's menu,90,53,0.83,"People also ask, Top stories, Thumbnail",Brand Core,McDonald's Menu,menu-hub,menu_hub,,overview,overview_menu,,,,menu-hub__overview_menu,McDonald's Menu - overview menu,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,Yes,,,,https://www.mac-menus.com/mcdonalds-chicken-menu/,2026-05-05 06:05:05
how much is a shamrock shake at mcdonald's,how much is a shamrock shake,90,0,0,"AI Overview, Thumbnail, Video preview, People also ask",Limited Time,Limited Time Menu,limited-time-menu,support_page,,commercial,price_value,,,,limited-time-menu__price_value,Limited Time Menu - price value,support,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/limited-time-menu/,Yes,No,,,,https://www.mac-menus.com/limited-time-only-shamrock-shake/,2026-05-01 10:55:18
mcdonald's sausage burrito nutrition facts,mcdonald's sausage burrito calories,90,0,0.81,"People also ask, Video preview",Breakfast,Sausage Burrito,bfast-sausage-burrito,product_variant,Breakfast Menu,nutrition,nutrition_macros,,,,bfast-sausage-burrito__nutrition_macros,Sausage Burrito - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/sausage-burrito/,Yes,No,,,,https://www.mac-menus.com/sausage-burrito-meal/,2026-05-01 21:47:45
mc chicken nutrition,mcchicken calories,90,0,0.65,"People also ask, Knowledge panel",Chicken & Fish,McChicken,chicken-mcchicken,product_variant,Chicken & Fish Menu,nutrition,nutrition_macros,,,,chicken-mcchicken__nutrition_macros,McChicken - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,Yes,No,,,,https://www.mac-menus.com/mcchicken/,2026-04-27 06:55:14
calories in 4 piece mcnugget,calories in a 4 piece mcnugget,90,13,0,"Knowledge card, People also ask",McNuggets & Strips,4 pc Chicken McNuggets,nuggets-4-pc-chicken-mcnuggets,product_variant,Chicken McNuggets,nutrition,nutrition_macros,,,,nuggets-4-pc-chicken-mcnuggets__nutrition_macros,4 pc Chicken McNuggets - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mcnuggets-strips/4-pc-chicken-mcnuggets/,Yes,No,,,,https://www.mac-menus.com/chicken-mcnuggets/,2026-04-15 22:05:55
